"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"China","CHN","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41000000","44726084","55717488","61898336","74725444","67245263","84810503","103823024","115941970","108799933.7248","131989200","146441501","159337100","174393600","185136300","193734000","197849000","222155820","233201600","242030000","245103781",
"Cote d'Ivoire","CIV","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","434422","543845","579060","612546","670000","710000","","590306","713625","677029","530000","546000","633900","633900","600000","896516","902058","907600","919000","918669","974872",
"Cameroon","CMR","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217681","270000","245538","290000","340000","313371","339269","333555","336412","334983.5","387000","360991.75","397023.546377071","395872",
"Congo, Dem. Rep.","COD","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55000","58000","42690","45000","73265","45000","59132.5","52066.25","55599.38","42211","",
"Congo, Rep.","COG","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","321000","291917.4","355000","442800","518000","480400","499200","489800","494500","579000","536750","557875","556579",
"Colombia","COL","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","791588","577041","960720","995203","946945","1236121","1510744","2076760","1969316","2056789.2236","2447727","2844798","3361028","3128901","3351458","3696592","3491220","3956466","4582712","4402574","4480900",
"Comoros","COM","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44697.48","77184.98","79917.15","67847.03","68894.84","76096.89","73309.69","52673.2","55032.5","54358.54","",
"Cabo Verde","CPV","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54110.54","62118.43","58980.73","35490.56","37376.6","33842.01","38312.37","41930.7","79354.19","52378.23","",
"Costa Rica","CRI","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","573502","563825","602570","669259","734088","740420","834321","976621","1004971","875687","1036214","1095441","1229529","1246829","1298600","1343841","1441756","1489210","1492791","1552590","1511600",
"Caribbean small states","CSS","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4391829","4416836","3757542","3937252.5","3883464","4081252","4065614","4029434","4050814","3692940","3333999.5","3819949.59","4096793.18","3683150.5",
